task,assistant_model,conv_type,n_convs,avg_score_cond,accuracy_cond,n_with_score,n_with_is_correct,avg_score_all,accuracy_all,n_missing_eval,n_both_present,n_mismatch_both_present,missing_eval_rate,mismatch_rate_among_both_present
actions,gpt-5,full,105,0.9278350515463918,0.8571428571428571,97,105,0.8571428571428571,0.8571428571428571,0,97,0,0.0,0.0
actions,gpt-5,sharded,105,0.5619047619047619,0.5619047619047619,105,105,0.5619047619047619,0.5619047619047619,0,105,0,0.0,0.0
actions,gpt-5-chat,full,105,0.9714285714285714,0.9714285714285714,105,105,0.9714285714285714,0.9714285714285714,0,105,0,0.0,0.0
actions,gpt-5-chat,sharded,104,0.7572815533980582,0.75,103,104,0.75,0.75,0,103,0,0.0,0.0
actions,gpt-5-mini,full,105,0.8854166666666666,0.8095238095238095,96,105,0.8095238095238095,0.8095238095238095,0,96,0,0.0,0.0
actions,gpt-5-mini,sharded,104,0.5576923076923077,0.5576923076923077,104,104,0.5576923076923077,0.5576923076923077,0,104,0,0.0,0.0
actions,gpt-5.1,full,105,0.9342105263157895,0.6761904761904762,76,105,0.6761904761904762,0.6761904761904762,0,76,0,0.0,0.0
actions,gpt-5.1,sharded,103,0.5841584158415841,0.5728155339805825,101,103,0.5728155339805825,0.5728155339805825,0,101,0,0.0,0.0
actions,gpt-5.1-chat,full,105,0.9230769230769231,0.9142857142857143,104,105,0.9142857142857143,0.9142857142857143,0,104,0,0.0,0.0
actions,gpt-5.1-chat,sharded,104,0.5825242718446602,0.5769230769230769,103,104,0.5769230769230769,0.5769230769230769,0,103,0,0.0,0.0
actions,gpt-5.2,full,105,0.8952380952380953,0.8952380952380953,105,105,0.8952380952380953,0.8952380952380953,0,105,0,0.0,0.0
actions,gpt-5.2,sharded,103,0.30392156862745096,0.30097087378640774,102,103,0.30097087378640774,0.30097087378640774,0,102,0,0.0,0.0
actions,gpt-5.2-chat,full,105,0.8958333333333334,0.819047619047619,96,105,0.819047619047619,0.819047619047619,0,96,0,0.0,0.0
actions,gpt-5.2-chat,sharded,103,0.48,0.46601941747572817,100,103,0.46601941747572817,0.46601941747572817,0,100,0,0.0,0.0
code,gpt-5,full,100,0.29,0.29,100,100,0.29,0.29,0,100,0,0.0,0.0
code,gpt-5,sharded,65,0.5846153846153846,0.5846153846153846,65,65,0.5846153846153846,0.5846153846153846,0,65,0,0.0,0.0
code,gpt-5-chat,full,100,0.96,0.96,100,100,0.96,0.96,0,100,0,0.0,0.0
code,gpt-5-chat,sharded,97,0.7835051546391752,0.7835051546391752,97,97,0.7835051546391752,0.7835051546391752,0,97,0,0.0,0.0
code,gpt-5-mini,full,100,0.44,0.44,100,100,0.44,0.44,0,100,0,0.0,0.0
code,gpt-5-mini,sharded,90,0.34444444444444444,0.34444444444444444,90,90,0.34444444444444444,0.34444444444444444,0,90,0,0.0,0.0
code,gpt-5.1,full,100,0.86,0.86,100,100,0.86,0.86,0,100,0,0.0,0.0
code,gpt-5.1,sharded,98,0.35714285714285715,0.35714285714285715,98,98,0.35714285714285715,0.35714285714285715,0,98,0,0.0,0.0
code,gpt-5.1-chat,full,100,0.92,0.92,100,100,0.92,0.92,0,100,0,0.0,0.0
code,gpt-5.1-chat,sharded,96,0.6875,0.6875,96,96,0.6875,0.6875,0,96,0,0.0,0.0
code,gpt-5.2,full,100,0.42,0.42,100,100,0.42,0.42,0,100,0,0.0,0.0
code,gpt-5.2,sharded,98,0.7346938775510204,0.7346938775510204,98,98,0.7346938775510204,0.7346938775510204,0,98,0,0.0,0.0
